% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels),District,State,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),g_read_inv,g_math_inv,need_score,Optimized_Hours_Statewise,Priority_Score_Statewise
52.10,0.00,69.10,30.80,Washim,MH,50.50,33.60,1.98,2.98,2.48,1.00,2.48
62.10,0.30,52.30,23.00,Yavatmal,MH,37.90,31.70,2.64,3.15,2.90,5.00,14.48
59.50,6.70,50.70,25.40,East Garo Hills,ML,20.40,39.60,4.90,2.53,3.71,1.00,3.71
14.80,2.50,82.60,37.00,East Khasi Hills,ML,59.90,60.80,1.67,1.64,1.66,1.00,1.66
39.50,7.80,83.40,23.80,Jaintia Hills,ML,48.60,51.20,2.06,1.95,2.01,1.00,2.01
38.40,4.10,60.10,18.30,Meghalaya,ML,30.30,36.80,3.30,2.72,3.01,1.00,3.01
37.50,2.60,68.80,16.00,Ri Bhoi,ML,28.00,24.30,3.57,4.12,3.84,4.00,15.37
50.50,4.90,70.10,7.80,South Garo Hills,ML,27.70,32.10,3.61,3.12,3.36,1.00,3.36
43.60,2.80,39.10,7.40,West Garo Hills,ML,8.30,20.80,12.05,4.81,8.43,5.00,42.14
78.20,14.50,53.80,12.30,Alirajpur,MP,16.00,9.80,6.25,10.20,8.23,5.00,41.14
66.40,4.30,69.80,32.10,Anuppur,MP,38.40,29.90,2.60,3.34,2.97,1.00,2.97
71.20,4.00,60.30,35.60,Ashoknagar,MP,30.50,25.00,3.28,4.00,3.64,1.00,3.64
77.80,1.60,70.20,40.60,Balaghat,MP,43.10,38.10,2.32,2.62,2.47,1.00,2.47
74.60,8.80,59.50,14.50,Barwani,MP,23.20,17.30,4.31,5.78,5.05,5.00,25.23
76.10,0.70,78.50,33.80,Betul,MP,52.70,34.20,1.90,2.92,2.41,1.00,2.41
74.00,1.20,70.40,53.60,Bhind,MP,32.90,41.50,3.04,2.41,2.72,1.00,2.72
36.80,2.80,65.10,36.70,Bhopal,MP,35.40,40.00,2.82,2.50,2.66,1.00,2.66
74.80,3.50,39.10,12.60,Burhanpur,MP,15.60,18.30,6.41,5.46,5.94,5.00,29.69
85.20,2.20,64.20,52.90,Chhatarpur,MP,34.80,46.30,2.87,2.16,2.52,1.00,2.52
75.00,1.20,57.90,27.90,Chhindwara,MP,27.80,25.70,3.60,3.89,3.74,1.00,3.74
75.80,1.10,52.20,22.20,Damoh,MP,28.00,20.60,3.57,4.85,4.21,5.00,21.06
82.40,2.70,63.60,50.80,Datia,MP,33.20,39.10,3.01,2.56,2.78,1.00,2.78
48.80,0.20,66.20,26.20,Dewas,MP,35.40,35.90,2.82,2.79,2.81,1.00,2.81
55.60,6.80,63.90,29.80,Dhar,MP,24.00,23.90,4.17,4.18,4.18,4.00,16.70
84.70,1.30,60.60,17.90,Dindori,MP,40.20,17.10,2.49,5.85,4.17,1.00,4.17
64.70,7.70,52.00,29.80,Guna,MP,23.80,27.90,4.20,3.58,3.89,1.00,3.89
70.50,4.80,49.70,35.90,Gwalior,MP,28.90,35.60,3.46,2.81,3.13,1.00,3.13
70.20,1.40,57.80,27.20,Harda,MP,24.70,25.60,4.05,3.91,3.98,1.00,3.98
67.10,0.70,50.60,31.70,Hoshangabad,MP,35.60,40.50,2.81,2.47,2.64,1.00,2.64
41.60,2.00,66.30,33.60,Indore,MP,39.20,39.60,2.55,2.53,2.54,1.00,2.54
69.30,1.60,58.20,32.00,Jabalpur,MP,36.20,31.90,2.76,3.13,2.95,1.00,2.95
72.90,9.20,55.80,16.10,Jhabua,MP,21.70,16.20,4.61,6.17,5.39,5.00,26.95
73.30,0.50,55.80,39.30,Katni,MP,36.80,42.80,2.72,2.34,2.53,1.00,2.53
66.20,0.50,56.50,16.70,Khandwa,MP,31.30,20.60,3.19,4.85,4.02,1.00,4.02
64.80,1.90,67.40,30.10,Khargone,MP,36.60,27.40,2.73,3.65,3.19,1.00,3.19
66.90,2.50,59.70,31.90,Madhya Pradesh,MP,31.80,29.70,3.14,3.37,3.26,1.00,3.26
83.50,1.10,75.70,38.80,Mandla,MP,45.20,34.00,2.21,2.94,2.58,1.00,2.58
48.00,0.90,69.90,38.70,Mandsaur,MP,47.20,40.50,2.12,2.47,2.29,1.00,2.29
71.10,2.20,54.10,46.50,Morena,MP,33.70,38.10,2.97,2.62,2.80,1.00,2.80
59.90,0.80,62.30,33.80,Narsimhapur,MP,33.60,29.70,2.98,3.37,3.17,1.00,3.17
56.40,5.00,72.70,39.40,Neemuch,MP,39.70,33.00,2.52,3.03,2.77,1.00,2.77
68.30,1.40,49.70,29.00,Panna,MP,24.20,25.60,4.13,3.91,4.02,1.00,4.02
61.50,1.10,58.70,31.10,Raisen,MP,31.60,33.70,3.16,2.97,3.07,1.00,3.07
54.80,2.10,53.70,27.30,Rajgarh,MP,20.40,17.00,4.90,5.88,5.39,5.00,26.96
61.30,2.00,58.90,15.50,Ratlam,MP,21.40,20.10,4.67,4.98,4.82,5.00,24.12
52.40,1.70,62.50,40.50,Rewa,MP,42.90,41.30,2.33,2.42,2.38,1.00,2.38
68.70,2.20,42.20,22.80,Sagar,MP,22.30,22.00,4.48,4.55,4.51,5.00,22.57
67.70,1.60,61.00,33.10,Satna,MP,30.30,27.70,3.30,3.61,3.46,1.00,3.46
55.50,2.50,63.80,31.10,Sehore,MP,28.60,28.20,3.50,3.55,3.52,1.00,3.52
72.50,0.00,63.80,29.30,Seoni,MP,35.20,34.10,2.84,2.93,2.89,1.00,2.89
73.50,1.00,53.10,30.60,Shahdol,MP,28.80,29.80,3.47,3.36,3.41,1.00,3.41
46.10,0.80,80.80,36.90,Shajapur,MP,44.20,32.10,2.26,3.12,2.69,1.00,2.69
72.00,5.80,50.90,32.80,Sheopur,MP,23.80,20.80,4.20,4.81,4.50,5.00,22.52
71.40,3.40,44.50,32.10,Shivpuri,MP,21.60,28.00,4.63,3.57,4.10,1.00,4.10
66.70,1.00,52.50,25.20,Sidhi,MP,25.70,20.60,3.89,4.85,4.37,5.00,21.86
69.70,3.50,45.40,17.50,Singrauli,MP,24.00,22.50,4.17,4.44,4.31,5.00,21.53
86.30,1.30,54.80,46.10,Tikamgarh,MP,19.20,24.60,5.21,4.07,4.64,5.00,23.18
43.70,1.10,65.80,24.10,Ujjain,MP,39.30,28.60,2.54,3.50,3.02,1.00,3.02
67.80,1.70,60.20,37.80,Umaria,MP,27.20,31.10,3.68,3.22,3.45,1.00,3.45
66.90,2.60,53.80,24.70,Vidisha,MP,31.90,26.20,3.13,3.82,3.48,1.00,3.48
37.70,0.20,88.90,58.60,Aizawl,MZ,70.70,79.30,1.41,1.26,1.34,1.00,1.34
54.20,0.90,89.50,52.40,Champhai,MZ,64.50,74.90,1.55,1.34,1.44,1.00,1.44
63.60,1.00,73.10,38.00,Lawngtlai,MZ,27.70,57.40,3.61,1.74,2.68,5.00,13.38
67.80,1.30,85.20,53.50,Lunglei,MZ,45.00,71.80,2.22,1.39,1.81,1.00,1.81
53.80,3.00,86.50,52.10,Mamit,MZ,51.30,58.80,1.95,1.70,1.82,1.00,1.82
59.30,1.20,84.50,50.30,Mizoram,MZ,49.40,68.30,2.02,1.46,1.74,1.00,1.74
91.40,0.80,82.20,42.60,Saiha,MZ,43.90,70.30,2.28,1.42,1.85,5.00,9.25
56.20,0.20,91.50,54.00,Serchhip,MZ,63.70,73.30,1.57,1.36,1.47,1.00,1.47
39.10,2.20,71.70,31.60,Dimapur,NL,37.90,49.80,2.64,2.01,2.32,1.00,2.32
69.10,3.30,-2.00,-2.00,Kiphire,NL,20.30,26.50,4.93,3.77,4.35,5.00,21.75
32.50,0.70,85.20,45.30,Kohima,NL,44.80,49.50,2.23,2.02,2.13,1.00,2.13
31.10,0.50,60.80,23.90,Longleng,NL,43.90,58.90,2.28,1.70,1.99,1.00,1.99
54.30,1.00,77.60,42.90,Mokokchung,NL,50.60,77.00,1.98,1.30,1.64,1.00,1.64
54.50,1.20,48.80,17.00,Mon,NL,25.70,50.20,3.89,1.99,2.94,4.00,11.77
45.60,1.40,67.60,28.00,Nagaland,NL,34.10,50.30,2.93,1.99,2.46,1.00,2.46
43.20,1.90,78.40,36.10,Peren,NL,31.30,59.60,3.19,1.68,2.44,1.00,2.44
37.50,0.30,73.40,25.60,Phek,NL,39.50,48.00,2.53,2.08,2.31,1.00,2.31
57.50,1.10,54.00,7.50,Tuensang,NL,12.40,23.40,8.06,4.27,6.17,5.00,30.85
36.70,3.10,82.60,46.90,Zunheboto,NL,57.00,78.20,1.75,1.28,1.52,1.00,1.52
92.30,0.00,69.50,41.70,Angul,OD,44.50,39.50,2.25,2.53,2.39,1.00,2.39
92.00,0.40,57.60,34.70,Balangir,OD,30.60,36.50,3.27,2.74,3.00,5.00,15.02
90.20,0.50,86.00,64.10,Baleshwar,OD,72.80,72.50,1.37,1.38,1.38,1.00,1.38
92.40,0.20,73.70,42.50,Bargarh,OD,54.30,52.40,1.84,1.91,1.88,1.00,1.88
87.90,0.10,69.60,30.10,Baudh,OD,57.30,42.10,1.75,2.38,2.06,1.00,2.06
90.40,0.70,80.60,56.10,Bhadrak,OD,66.00,60.20,1.52,1.66,1.59,1.00,1.59
79.10,0.20,79.80,48.50,Cuttack,OD,70.10,67.70,1.43,1.48,1.45,1.00,1.45
94.20,0.10,75.10,42.00,Deogarh,OD,67.70,55.00,1.48,1.82,1.65,1.00,1.65
85.70,0.30,73.10,41.90,Dhenkanal,OD,67.10,46.30,1.49,2.16,1.83,1.00,1.83
85.70,0.20,57.10,,Gajapati,OD,36.60,35.50,2.73,2.82,2.77,3.00,8.32
93.10,0.20,66.30,54.60,Ganjam,OD,38.80,50.70,2.58,1.97,2.27,1.00,2.27
82.60,0.50,73.70,42.90,Jagatsinghpur,OD,61.50,56.20,1.63,1.78,1.70,1.00,1.70
79.10,0.80,77.10,47.20,Jajpur,OD,59.40,58.40,1.68,1.71,1.70,1.00,1.70
87.70,0.00,79.40,49.60,Jharsuguda,OD,63.20,54.90,1.58,1.82,1.70,1.00,1.70
92.40,0.80,67.50,42.80,Kalahandi,OD,39.60,32.60,2.53,3.07,2.80,5.00,13.98
95.30,0.90,64.70,25.10,Kandhamal,OD,47.50,32.00,2.11,3.12,2.62,1.00,2.62
82.90,0.20,84.10,56.80,Kendrapara,OD,65.20,57.80,1.53,1.73,1.63,1.00,1.63
86.70,2.00,70.50,41.80,Kendujhar,OD,51.00,46.20,1.96,2.16,2.06,1.00,2.06
85.00,0.50,80.70,55.50,Khordha,OD,60.80,61.40,1.64,1.63,1.64,1.00,1.64
95.60,2.10,20.20,3.70,Koraput,OD,2.60,4.70,38.46,21.28,29.87,5.00,149.35
95.20,2.60,32.10,19.60,Malkangiri,OD,7.80,12.10,12.82,8.26,10.54,5.00,52.71
93.30,2.90,75.60,49.90,Mayurbhanj,OD,60.30,62.40,1.66,1.60,1.63,1.00,1.63
89.60,4.10,56.70,19.60,Nabarangpur,OD,32.90,19.70,3.04,5.08,4.06,5.00,20.29
92.80,0.10,88.10,59.10,Nayagarh,OD,79.60,64.50,1.26,1.55,1.40,1.00,1.40
92.70,0.90,52.50,27.90,Nuapada,OD,33.10,29.80,3.02,3.36,3.19,5.00,15.94
85.20,0.10,89.20,55.80,Puri,OD,70.70,63.40,1.41,1.58,1.50,1.00,1.50
86.20,7.50,45.80,24.50,Rayagada,OD,23.90,34.40,4.18,2.91,3.55,5.00,17.73
82.80,0.00,73.80,40.30,Sambalpur,OD,52.70,53.80,1.90,1.86,1.88,1.00,1.88
88.60,0.00,70.90,52.60,Subarnapur,OD,55.00,61.90,1.82,1.62,1.72,1.00,1.72
86.80,2.60,60.50,33.40,Sundargarh,OD,52.90,46.10,1.89,2.17,2.03,1.00,2.03
66.90,1.70,62.60,27.60,Ajmer,RJ,32.50,27.10,3.08,3.69,3.38,1.00,3.38
47.20,2.00,67.70,41.10,Alwar,RJ,32.10,38.40,3.12,2.60,2.86,1.00,2.86
77.80,2.30,38.10,8.10,Banswara,RJ,18.70,11.90,5.35,8.40,6.88,5.00,34.38
72.70,2.90,66.10,33.40,Baran,RJ,36.80,34.80,2.72,2.87,2.80,1.00,2.80
77.00,4.50,62.80,9.20,Barmer,RJ,19.80,10.80,5.05,9.26,7.15,5.00,35.77
51.00,2.60,70.20,37.20,Bharatpur,RJ,33.10,33.90,3.02,2.95,2.99,1.00,2.99
60.80,2.60,68.90,34.50,Bhilwara,RJ,41.70,33.50,2.40,2.99,2.69,1.00,2.69
46.70,3.20,59.00,24.60,Bikaner,RJ,31.10,30.40,3.22,3.29,3.25,1.00,3.25
75.60,0.90,66.60,25.90,Bundi,RJ,41.50,30.50,2.41,3.28,2.84,1.00,2.84
61.00,2.10,58.10,22.10,Chittaurgarh,RJ,38.10,34.90,2.62,2.87,2.75,1.00,2.75
49.20,0.60,80.30,47.50,Churu,RJ,45.90,51.60,2.18,1.94,2.06,1.00,2.06
51.50,0.30,72.80,35.30,Dausa,RJ,36.90,37.10,2.71,2.70,2.70,1.00,2.70
51.50,2.70,57.80,32.60,Dhaulpur,RJ,25.90,36.30,3.86,2.75,3.31,1.00,3.31
78.30,1.10,42.30,13.60,Dungarpur,RJ,25.90,27.90,3.86,3.58,3.72,1.00,3.72
63.20,1.00,72.90,43.50,Ganganagar,RJ,47.50,51.70,2.11,1.93,2.02,1.00,2.02
47.50,1.20,70.90,46.10,Hanumangarh,RJ,42.90,49.60,2.33,2.02,2.17,1.00,2.17
25.60,0.30,81.40,51.90,Jaipur,RJ,53.40,57.20,1.87,1.75,1.81,1.00,1.81
62.20,9.80,59.80,17.60,Jaisalmer,RJ,25.30,20.50,3.95,4.88,4.42,5.00,22.08
70.40,2.20,45.10,20.90,Jalor,RJ,12.90,16.10,7.75,6.21,6.98,5.00,34.91
77.10,1.20,56.10,23.60,Jhalawar,RJ,27.10,17.70,3.69,5.65,4.67,5.00,23.35
45.30,1.50,74.10,43.80,Jhunjhunun,RJ,42.90,50.20,2.33,1.99,2.16,1.00,2.16
54.30,1.70,60.50,35.50,Jodhpur,RJ,31.20,32.80,3.21,3.05,3.13,1.00,3.13
50.50,2.50,58.30,37.20,Karauli,RJ,28.80,39.10,3.47,2.56,3.01,1.00,3.01
66.20,3.20,56.00,30.60,Kota,RJ,24.00,30.90,4.17,3.24,3.70,1.00,3.70
48.20,3.10,57.10,24.10,Nagaur,RJ,27.60,30.60,3.62,3.27,3.45,1.00,3.45
70.70,3.10,58.40,25.90,Pali,RJ,25.30,18.70,3.95,5.35,4.65,5.00,23.25
81.60,3.00,52.20,19.50,Pratapgarh,RJ,24.50,21.40,4.08,4.67,4.38,5.00,21.89
59.30,2.20,62.30,29.50,Rajasthan,RJ,33.10,32.20,3.02,3.11,3.06,1.00,3.06
74.90,2.80,45.90,15.30,Rajsamand,RJ,31.20,26.50,3.21,3.77,3.49,1.00,3.49
58.00,1.10,72.80,32.50,Sawai Madhopur,RJ,44.30,41.80,2.26,2.39,2.32,1.00,2.32
46.40,0.90,67.90,31.50,Sikar,RJ,33.40,41.40,2.99,2.42,2.70,1.00,2.70
66.60,4.50,48.60,20.50,Sirohi,RJ,25.30,23.10,3.95,4.33,4.14,3.00,12.42
63.90,0.40,81.30,40.00,Tonk,RJ,58.80,37.60,1.70,2.66,2.18,1.00,2.18
70.70,3.20,57.50,16.00,Udaipur,RJ,25.30,16.30,3.95,6.13,5.04,5.00,25.22
68.90,0.20,70.00,21.20,East,SK,35.90,45.80,2.79,2.18,2.48,5.00,12.42
83.30,0.30,77.80,24.30,North,SK,45.90,56.50,2.18,1.77,1.97,1.00,1.97
69.00,0.20,72.00,25.30,Sikkim,SK,42.70,49.00,2.34,2.04,2.19,2.00,4.38
68.50,0.50,67.00,18.60,South,SK,46.50,48.00,2.15,2.08,2.12,1.00,2.12
66.00,0.00,77.30,36.10,West,SK,47.20,51.80,2.12,1.93,2.02,1.00,2.02
73.80,1.50,50.20,37.30,Adilabad,TG,16.50,47.60,6.06,2.10,4.08,3.00,12.24
51.60,0.00,45.20,35.70,Karimnagar,TG,16.10,49.50,6.21,2.02,4.12,5.00,20.58
70.40,0.90,45.70,23.90,Khammam,TG,20.70,39.80,4.83,2.51,3.67,1.00,3.67
59.60,0.70,51.30,39.50,Mahbubnagar,TG,20.70,50.70,4.83,1.97,3.40,1.00,3.40
65.80,0.00,32.80,21.90,Medak,TG,9.90,45.90,10.10,2.18,6.14,5.00,30.70
57.90,0.00,47.30,31.80,Nalgonda,TG,20.00,51.70,5.00,1.93,3.47,1.00,3.47
47.90,0.20,44.60,36.20,Nizamabad,TG,16.10,57.70,6.21,1.73,3.97,1.00,3.97
57.70,1.00,51.30,37.30,Rangareddy,TG,20.90,46.80,4.78,2.14,3.46,1.00,3.46
59.80,0.50,46.40,34.70,Telangana,TG,18.00,49.00,5.56,2.04,3.80,1.00,3.80
53.00,0.00,44.30,44.00,Warangal,TG,17.10,50.50,5.85,1.98,3.91,1.00,3.91
71.50,0.00,70.10,34.10,Ariyalur,TN,40.80,50.40,2.45,1.98,2.22,1.00,2.22
76.00,0.00,65.90,45.10,Coimbatore,TN,30.60,49.80,3.27,2.01,2.64,1.00,2.64
66.10,0.00,61.70,30.20,Cuddalore,TN,19.10,32.00,5.24,3.12,4.18,5.00,20.90
73.90,0.30,40.90,21.20,Dharmapuri,TN,12.00,31.00,8.33,3.23,5.78,5.00,28.90
56.10,0.30,47.20,25.50,Dindigul,TN,24.40,42.30,4.10,2.36,3.23,1.00,3.23
73.40,0.10,55.60,32.00,Erode,TN,23.80,39.00,4.20,2.56,3.38,1.00,3.38
53.50,0.20,76.60,41.90,Kanniyakumari,TN,32.80,55.70,3.05,1.80,2.42,1.00,2.42
68.80,0.90,67.10,30.60,Karur,TN,27.40,41.10,3.65,2.43,3.04,1.00,3.04
72.30,0.00,58.50,47.00,Krishnagiri,TN,28.80,56.20,3.47,1.78,2.63,1.00,2.63
76.30,0.10,52.60,33.00,Madurai,TN,24.10,50.40,4.15,1.98,3.07,1.00,3.07
70.20,0.00,52.20,30.00,Nagapattinam,TN,25.20,31.90,3.97,3.13,3.55,5.00,17.76
67.30,0.00,52.50,37.80,Namakkal,TN,25.20,45.30,3.97,2.21,3.09,1.00,3.09
73.40,0.00,58.20,32.10,Perambalur,TN,32.40,39.10,3.09,2.56,2.82,1.00,2.82
82.10,0.00,70.10,45.90,Pudukkottai,TN,32.50,49.30,3.08,2.03,2.55,1.00,2.55
51.60,0.00,67.60,52.20,Ramanathapuram,TN,39.20,59.40,2.55,1.68,2.12,1.00,2.12
69.90,0.30,47.90,24.30,Salem,TN,14.70,28.70,6.80,3.48,5.14,5.00,25.72
63.00,0.30,66.10,29.70,Sivaganga,TN,30.50,58.60,3.28,1.71,2.49,1.00,2.49
68.70,0.10,55.40,33.40,Tamil Nadu,TN,24.60,42.10,4.07,2.38,3.22,1.00,3.22
81.50,0.00,41.30,22.90,Thanjavur,TN,13.90,34.80,7.19,2.87,5.03,5.00,25.17
45.90,0.10,46.60,33.80,The Nilgiris,TN,26.20,42.20,3.82,2.37,3.09,1.00,3.09
62.40,0.10,49.80,30.80,Theni,TN,25.30,45.00,3.95,2.22,3.09,1.00,3.09
64.60,0.50,46.70,24.00,Thiruvallur,TN,22.40,40.90,4.46,2.44,3.45,1.00,3.45
61.00,0.50,55.60,34.60,Thiruvarur,TN,18.10,39.90,5.52,2.51,4.02,5.00,20.08
59.40,0.10,54.60,38.00,Tiruchirappalli,TN,36.70,57.00,2.72,1.75,2.24,1.00,2.24
63.70,0.00,68.60,39.20,Tirunelveli,TN,22.60,38.30,4.42,2.61,3.52,3.00,10.55
66.80,0.40,66.10,36.50,Tiruppur,TN,32.20,41.90,3.11,2.39,2.75,1.00,2.75
78.90,0.30,51.00,35.50,Tiruvannamalai,TN,26.60,36.70,3.76,2.72,3.24,1.00,3.24
67.00,0.00,53.00,30.40,Vellore,TN,22.60,41.50,4.42,2.41,3.42,1.00,3.42
67.10,0.00,55.20,35.50,Viluppuram,TN,21.80,38.00,4.59,2.63,3.61,5.00,18.05
71.60,0.10,59.70,40.30,Virudhunagar,TN,33.40,54.40,2.99,1.84,2.42,1.00,2.42
83.80,0.60,66.30,25.60,Dhalai,TR,32.00,39.80,3.12,2.51,2.82,5.00,14.09
81.90,0.40,65.60,37.70,North Tripura,TR,39.10,46.30,2.56,2.16,2.36,1.00,2.36
75.30,0.50,64.40,36.10,South Tripura,TR,29.30,45.10,3.41,2.22,2.82,1.00,2.82
65.70,0.00,61.90,30.90,West Tripura,TR,30.80,42.00,3.25,2.38,2.81,1.00,2.81
34.70,3.50,66.80,60.50,Agra,UP,53.60,62.00,1.87,1.61,1.74,1.00,1.74
45.40,3.30,75.00,60.80,Aligarh,UP,58.50,57.10,1.71,1.75,1.73,1.00,1.73
36.50,0.50,79.20,57.30,Ambedkar Nagar,UP,63.00,64.40,1.59,1.55,1.57,1.00,1.57
43.20,3.30,64.00,42.00,Amroha,UP,32.90,50.40,3.04,1.98,2.51,5.00,12.56
55.30,0.70,60.30,47.30,Auraiya,UP,48.60,49.90,2.06,2.00,2.03,1.00,2.03
43.40,1.30,70.50,48.80,Ayodhya,UP,56.70,48.50,1.76,2.06,1.91,1.00,1.91
40.50,1.60,79.30,67.40,Azamgarh,UP,57.70,68.90,1.73,1.45,1.59,1.00,1.59
34.70,2.70,74.70,60.50,Baghpat,UP,55.30,69.60,1.81,1.44,1.62,1.00,1.62
56.50,20.40,50.20,29.40,Bahraich,UP,27.00,25.50,3.70,3.92,3.81,5.00,19.06
38.70,0.70,53.60,43.40,Ballia,UP,32.00,51.00,3.12,1.96,2.54,5.00,12.71
47.60,15.30,68.50,37.40,Balrampur,UP,42.30,37.30,2.36,2.68,2.52,5.00,12.61
74.20,4.20,59.40,39.80,Banda,UP,35.20,36.90,2.84,2.71,2.78,5.00,13.88
52.50,5.80,56.60,30.50,Bara Banki,UP,48.70,42.70,2.05,2.34,2.20,1.00,2.20
40.90,5.90,72.20,44.70,Bareilly,UP,47.90,48.50,2.09,2.06,2.07,1.00,2.07
29.30,3.20,77.90,57.50,Basti,UP,52.30,60.70,1.91,1.65,1.78,1.00,1.78
44.20,4.20,76.20,54.00,Bhadohi,UP,64.70,60.70,1.55,1.65,1.60,1.00,1.60
37.90,2.60,70.30,52.50,Bijnor,UP,46.20,53.10,2.16,1.88,2.02,1.00,2.02
49.10,13.20,62.80,42.90,Budaun,UP,36.10,44.30,2.77,2.26,2.51,5.00,12.57
54.90,4.20,72.30,47.10,Bulandshahr,UP,47.60,41.80,2.10,2.39,2.25,1.00,2.25
54.20,2.30,74.90,58.60,Chandauli,UP,57.90,61.10,1.73,1.64,1.68,1.00,1.68
64.30,4.30,66.20,44.90,Chitrakoot,UP,52.50,51.60,1.90,1.94,1.92,1.00,1.92
32.40,0.30,72.60,61.30,Deoria,UP,51.60,69.10,1.94,1.45,1.69,1.00,1.69
49.20,2.50,62.20,45.10,Etah,UP,52.50,55.20,1.90,1.81,1.86,1.00,1.86
51.80,1.50,75.80,58.30,Etawah,UP,52.40,62.20,1.91,1.61,1.76,1.00,1.76
47.10,5.60,62.00,39.60,Farrukhabad,UP,42.30,43.20,2.36,2.31,2.34,5.00,11.70
53.50,1.60,65.10,44.60,Fatehpur,UP,43.10,50.30,2.32,1.99,2.15,1.00,2.15
45.90,2.40,68.80,54.00,Firozabad,UP,59.60,61.80,1.68,1.62,1.65,1.00,1.65
33.10,1.30,82.00,60.60,Gautam Buddha Nagar,UP,65.30,65.60,1.53,1.52,1.53,1.00,1.53
33.80,0.20,75.10,63.30,Ghaziabad,UP,51.00,60.60,1.96,1.65,1.81,1.00,1.81
45.30,1.00,81.90,75.20,Ghazipur,UP,57.30,71.90,1.75,1.39,1.57,1.00,1.57
44.40,6.50,68.00,49.60,Gonda,UP,43.20,49.70,2.31,2.01,2.16,1.00,2.16
39.10,0.60,75.00,54.90,Gorakhpur,UP,49.30,57.10,2.03,1.75,1.89,1.00,1.89
74.50,1.80,69.40,56.90,Hamirpur,UP,34.40,57.50,2.91,1.74,2.32,4.00,9.29
58.10,5.30,57.50,36.10,Hardoi,UP,34.80,39.20,2.87,2.55,2.71,5.00,13.56
44.80,3.00,64.90,56.00,Hathras,UP,46.90,68.20,2.13,1.47,1.80,1.00,1.80
58.70,1.90,66.40,61.40,Jalaun,UP,39.30,55.60,2.54,1.80,2.17,1.00,2.17
57.90,0.60,77.90,59.30,Jaunpur,UP,51.40,62.60,1.95,1.60,1.77,1.00,1.77
72.30,1.40,72.90,57.00,Jhansi,UP,38.60,53.40,2.59,1.87,2.23,1.00,2.23
45.70,2.10,59.40,53.30,Kannauj,UP,41.80,55.50,2.39,1.80,2.10,1.00,2.10
57.30,1.90,68.00,50.10,Kanpur Dehat,UP,46.70,62.20,2.14,1.61,1.87,1.00,1.87
49.20,4.90,61.00,37.00,Kashganj,UP,39.00,44.50,2.56,2.25,2.41,5.00,12.03
49.50,6.80,64.90,45.60,Kaushambi,UP,42.40,43.30,2.36,2.31,2.33,5.00,11.67
70.90,3.50,61.70,41.30,Kheri,UP,35.60,45.10,2.81,2.22,2.51,5.00,12.57
37.60,1.70,77.30,51.30,Kushinagar,UP,55.80,55.40,1.79,1.81,1.80,1.00,1.80
70.90,3.90,61.70,47.20,Lalitpur,UP,42.90,41.20,2.33,2.43,2.38,5.00,11.90
41.80,4.70,72.50,45.10,Lucknow,UP,54.70,52.80,1.83,1.89,1.86,1.00,1.86
74.10,1.50,56.30,41.80,Mahoba,UP,26.30,41.80,3.80,2.39,3.10,5.00,15.49
32.80,3.30,67.00,49.90,Mahrajganj,UP,47.60,62.00,2.10,1.61,1.86,1.00,1.86
48.60,1.90,71.30,45.00,Mainpuri,UP,47.50,46.40,2.11,2.16,2.13,1.00,2.13
33.30,2.60,76.40,62.00,Mathura,UP,51.50,58.40,1.94,1.71,1.83,1.00,1.83
40.40,2.20,81.30,62.30,Mau,UP,60.80,65.20,1.64,1.53,1.59,1.00,1.59
32.80,0.90,79.90,65.00,Meerut,UP,64.80,73.30,1.54,1.36,1.45,1.00,1.45
58.10,2.20,70.00,38.30,Mirzapur,UP,46.90,40.70,2.13,2.46,2.29,1.00,2.29
45.60,5.20,69.90,48.30,Moradabad,UP,43.10,51.10,2.32,1.96,2.14,1.00,2.14
46.20,1.10,76.00,63.70,Muzaffarnagar,UP,46.00,61.40,2.17,1.63,1.90,1.00,1.90
51.60,7.40,62.60,39.20,Pilibhit,UP,39.10,36.40,2.56,2.75,2.65,5.00,13.26
41.20,0.90,68.20,51.20,Pratapgarh,UP,53.00,60.80,1.89,1.64,1.77,1.00,1.77
41.60,2.10,71.10,47.50,Prayagraj,UP,51.90,56.30,1.93,1.78,1.85,1.00,1.85
62.20,1.40,64.50,47.30,Raebareli,UP,43.10,55.30,2.32,1.81,2.06,1.00,2.06
38.60,5.50,64.80,42.20,Rampur,UP,41.80,48.40,2.39,2.07,2.23,1.00,2.23
46.70,2.00,80.10,52.70,Saharanpur,UP,50.90,56.70,1.96,1.76,1.86,1.00,1.86
37.60,3.50,72.00,44.00,Sant Kabir Nagar,UP,47.80,51.10,2.09,1.96,2.02,1.00,2.02
55.30,5.20,53.80,37.60,Shahjahanpur,UP,27.00,39.50,3.70,2.53,3.12,5.00,15.59
59.40,14.20,53.20,39.20,Shrawasti,UP,23.20,28.50,4.31,3.51,3.91,5.00,19.55
46.40,3.00,64.50,50.80,Siddharth Nagar,UP,44.00,57.30,2.27,1.75,2.01,1.00,2.01
57.50,6.60,65.70,37.50,Sitapur,UP,45.40,42.10,2.20,2.38,2.29,1.00,2.29
